1739811899.449825 server started (13567): version 3.5a, socket /private/tmp/tmux-501/default, protocol 8
1739811899.449897 on Darwin 24.2.0 Darwin Kernel Version 24.2.0: Fri Dec  6 18:51:28 PST 2024; root:xnu-11215.61.5~2/RELEASE_ARM64_T8112
1739811899.449906 using libevent 2.1.12-stable select
1739811899.449917 using utf8proc 2.10.0
1739811899.449924 using ncurses 6.5 20240427
1739811899.450482 input_key_build: 0x10e1b8 (KP3) is 3
1739811899.450489 input_key_build: 0x10e1b9 (KPEnter) is \n
1739811899.450495 input_key_build: 0x10e1ba (KP0) is 0
1739811899.450502 input_key_build: 0x10e1bb (KP.) is .
1739811899.450509 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1739811899.450515 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1739811899.450522 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1739811899.450528 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1739811899.450535 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1739811899.450541 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1739811899.450548 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1739811899.450555 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1739811899.450561 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1739811899.450568 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1739811899.450574 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1739811899.450581 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1739811899.450588 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1739811899.450594 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1739811899.450601 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1739811899.450607 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1739811899.450614 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1739811899.450620 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1739811899.450627 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1739811899.450643 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1739811899.450648 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1739811899.450653 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1739811899.450658 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1739811899.450663 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1739811899.450668 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1739811899.450672 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1739811899.450677 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1739811899.450682 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1739811899.450686 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1739811899.450691 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1739811899.450696 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1739811899.450700 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1739811899.450705 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1739811899.450710 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1739811899.450714 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1739811899.450719 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1739811899.450724 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1739811899.450728 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1739811899.450733 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1739811899.450738 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1739811899.450742 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1739811899.450747 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1739811899.450752 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1739811899.450756 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1739811899.450761 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1739811899.450765 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1739811899.450770 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1739811899.450774 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1739811899.450779 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1739811899.450784 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1739811899.450788 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1739811899.450793 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1739811899.450797 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1739811899.450802 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1739811899.450807 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1739811899.450812 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1739811899.450816 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1739811899.450821 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1739811899.450826 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1739811899.450830 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1739811899.450835 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1739811899.450840 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1739811899.450845 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1739811899.450850 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1739811899.450854 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1739811899.450859 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1739811899.450864 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1739811899.450869 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1739811899.450874 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1739811899.450879 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1739811899.450883 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1739811899.450888 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1739811899.450893 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1739811899.450898 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1739811899.450902 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1739811899.450907 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1739811899.450920 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1739811899.450925 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1739811899.450930 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1739811899.450935 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1739811899.450940 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1739811899.450945 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1739811899.450950 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1739811899.450955 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1739811899.450959 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1739811899.450964 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1739811899.450969 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1739811899.450974 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1739811899.450979 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1739811899.450984 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1739811899.450988 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1739811899.450993 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1739811899.450998 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1739811899.451002 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1739811899.451007 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1739811899.451012 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1739811899.451017 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1739811899.451021 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1739811899.451026 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1739811899.451031 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1739811899.451036 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1739811899.451040 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1739811899.451045 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1739811899.451050 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1739811899.451055 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1739811899.451059 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1739811899.451064 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1739811899.451069 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1739811899.451074 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1739811899.451079 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1739811899.451083 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1739811899.451088 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1739811899.451093 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1739811899.451098 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1739811899.451102 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1739811899.451107 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1739811899.451112 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1739811899.451116 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1739811899.451121 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1739811899.451126 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1739811899.451130 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1739811899.451135 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1739811899.451140 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1739811899.451145 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1739811899.451149 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1739811899.451154 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1739811899.451159 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1739811899.451164 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1739811899.451169 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1739811899.451173 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1739811899.451185 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1739811899.451190 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1739811899.451194 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1739811899.451199 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1739811899.451204 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1739811899.451209 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1739811899.451214 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1739811899.451219 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1739811899.451224 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1739811899.451228 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1739811899.451233 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1739811899.451237 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1739811899.451242 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1739811899.451246 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1739811899.451251 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1739811899.451256 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1739811899.451260 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1739811899.451265 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1739811899.451269 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1739811899.451274 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1739811899.451278 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1739811899.451283 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1739811899.451288 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1739811899.451292 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1739811899.451297 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1739811899.451301 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1739811899.451306 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1739811899.451310 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1739811899.451315 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1739811899.451319 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1739811899.451324 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1739811899.451329 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1739811899.451333 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1739811899.451338 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1739811899.451343 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1739811899.451347 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1739811899.451352 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1739811899.451357 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1739811899.451361 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1739811899.451366 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1739811899.451371 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1739811899.451376 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1739811899.451380 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1739811899.451386 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1739811899.451550 yylex_token: end at WS
1739811899.451560 yylex_token: bind
1739811899.451567 yylex_token: end at WS
1739811899.451571 yylex_token: -N
1739811899.451578 yylex_token: end at WS
1739811899.451583 yylex_token: Send the prefix key
1739811899.451588 yylex_token: end at WS
1739811899.451592 yylex_token: C-b
1739811899.451597 yylex_token: end at WS
1739811899.451601 yylex_token: send-prefix
1739811899.451609 cmd_parse_build_commands 0:0: bind
1739811899.451613 cmd_parse_build_commands 0:1: -N
1739811899.451618 cmd_parse_build_commands 0:2: Send the prefix key
1739811899.451623 cmd_parse_build_commands 0:3: C-b
1739811899.451628 cmd_parse_build_commands 0:4 0:0: send-prefix
1739811899.451815 cmd_parse_build_commands 0:0: send-prefix
1739811899.451887 args_parse: flags end at 1 of 1
1739811899.451896 cmd_parse_build_commands: send-prefix
1739811899.451902 args_parse_flags: next -N
1739811899.451907 args_parse_flag_argument: -N = Send the prefix key
1739811899.451911 args_parse_flags: next C-b
1739811899.451916 args_parse: flags end at 3 of 5
1739811899.451921 args_parse: 3 = C-b (type STRING)
1739811899.451928 args_parse: 4 = send-prefix (type COMMANDS)
1739811899.452013 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1739811899.452084 cmdq_get_command: [bind-key/0x144008180] group 2
1739811899.452092 cmdq_append <global>: [bind-key/0x144008180]
1739811899.452098 yylex_token: end at WS
1739811899.452103 yylex_token: bind
1739811899.452108 yylex_token: end at WS
1739811899.452112 yylex_token: -N
1739811899.452119 yylex_token: end at WS
1739811899.452123 yylex_token: Rotate through the panes
1739811899.452128 yylex_token: end at WS
1739811899.452132 yylex_token: C-o
1739811899.452138 yylex_token: end at WS
1739811899.452142 yylex_token: rotate-window
1739811899.452149 cmd_parse_build_commands 0:0: bind
1739811899.452153 cmd_parse_build_commands 0:1: -N
1739811899.452158 cmd_parse_build_commands 0:2: Rotate through the panes
1739811899.452163 cmd_parse_build_commands 0:3: C-o
1739811899.452168 cmd_parse_build_commands 0:4 0:0: rotate-window
1739811899.452175 cmd_parse_build_commands 0:0: rotate-window
1739811899.452183 args_parse: flags end at 1 of 1
1739811899.452189 cmd_parse_build_commands: rotate-window
1739811899.452194 args_parse_flags: next -N
1739811899.452199 args_parse_flag_argument: -N = Rotate through the panes
1739811899.452203 args_parse_flags: next C-o
1739811899.452208 args_parse: flags end at 3 of 5
1739811899.452213 args_parse: 3 = C-o (type STRING)
1739811899.452218 args_parse: 4 = rotate-window (type COMMANDS)
1739811899.452232 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1739811899.452240 cmdq_get_command: [bind-key/0x144008420] group 10
1739811899.452245 cmdq_append <global>: [bind-key/0x144008420]
1739811899.452250 yylex_token: end at WS
1739811899.452254 yylex_token: bind
1739811899.452259 yylex_token: end at WS
1739811899.452263 yylex_token: -N
1739811899.452270 yylex_token: end at WS
1739811899.452274 yylex_token: Suspend the current client
1739811899.452279 yylex_token: end at WS
1739811899.452283 yylex_token: C-z
1739811899.452288 yylex_token: end at WS
1739811899.452293 yylex_token: suspend-client
1739811899.452298 cmd_parse_build_commands 0:0: bind
1739811899.452303 cmd_parse_build_commands 0:1: -N
1739811899.452307 cmd_parse_build_commands 0:2: Suspend the current client
1739811899.452312 cmd_parse_build_commands 0:3: C-z
1739811899.452317 cmd_parse_build_commands 0:4 0:0: suspend-client
1739811899.452324 cmd_parse_build_commands 0:0: suspend-client
1739811899.452331 args_parse: flags end at 1 of 1
1739811899.452337 cmd_parse_build_commands: suspend-client
1739811899.452341 args_parse_flags: next -N
1739811899.452345 args_parse_flag_argument: -N = Suspend the current client
1739811899.452349 args_parse_flags: next C-z
1739811899.452353 args_parse: flags end at 3 of 5
1739811899.452356 args_parse: 3 = C-z (type STRING)
1739811899.452361 args_parse: 4 = suspend-client (type COMMANDS)
1739811899.452372 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1739811899.452378 cmdq_get_command: [bind-key/0x144008a30] group 18
1739811899.452382 cmdq_append <global>: [bind-key/0x144008a30]
1739811899.452386 yylex_token: end at WS
1739811899.452390 yylex_token: bind
1739811899.452394 yylex_token: end at WS
1739811899.452397 yylex_token: -N
1739811899.452402 yylex_token: end at WS
1739811899.452406 yylex_token: Select next layout
1739811899.452410 yylex_token: end at WS
1739811899.452413 yylex_token: Space
1739811899.452417 yylex_token: end at WS
1739811899.452421 yylex_token: next-layout
1739811899.452426 cmd_parse_build_commands 0:0: bind
1739811899.452436 cmd_parse_build_commands 0:1: -N
1739811899.452440 cmd_parse_build_commands 0:2: Select next layout
1739811899.452444 cmd_parse_build_commands 0:3: Space
1739811899.452449 cmd_parse_build_commands 0:4 0:0: next-layout
1739811899.452454 cmd_parse_build_commands 0:0: next-layout
1739811899.452460 args_parse: flags end at 1 of 1
1739811899.452464 cmd_parse_build_commands: next-layout
1739811899.452468 args_parse_flags: next -N
1739811899.452472 args_parse_flag_argument: -N = Select next layout
1739811899.452476 args_parse_flags: next Space
1739811899.452480 args_parse: flags end at 3 of 5
1739811899.452484 args_parse: 3 = Space (type STRING)
1739811899.452488 args_parse: 4 = next-layout (type COMMANDS)
1739811899.452499 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1739811899.452505 cmdq_get_command: [bind-key/0x144008d70] group 26
1739811899.452509 cmdq_append <global>: [bind-key/0x144008d70]
1739811899.452513 yylex_token: end at WS
1739811899.452517 yylex_token: bind
1739811899.452521 yylex_token: end at WS
1739811899.452524 yylex_token: -N
1739811899.452529 yylex_token: end at WS
1739811899.452533 yylex_token: Break pane to a new window
1739811899.452537 yylex_token: end at WS
1739811899.452540 yylex_token: !
1739811899.452544 yylex_token: end at WS
1739811899.452547 yylex_token: break-pane
1739811899.452552 cmd_parse_build_commands 0:0: bind
1739811899.452556 cmd_parse_build_commands 0:1: -N
1739811899.452560 cmd_parse_build_commands 0:2: Break pane to a new window
1739811899.452563 cmd_parse_build_commands 0:3: !
1739811899.452567 cmd_parse_build_commands 0:4 0:0: break-pane
1739811899.452573 cmd_parse_build_commands 0:0: break-pane
1739811899.452577 args_parse: flags end at 1 of 1
1739811899.452582 cmd_parse_build_commands: break-pane
1739811899.452586 args_parse_flags: next -N
1739811899.452590 args_parse_flag_argument: -N = Break pane to a new window
1739811899.452593 args_parse_flags: next !
1739811899.452597 args_parse: flags end at 3 of 5
1739811899.452600 args_parse: 3 = ! (type STRING)
1739811899.452605 args_parse: 4 = break-pane (type COMMANDS)
1739811899.452615 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1739811899.452621 cmdq_get_command: [bind-key/0x144009330] group 34
1739811899.452624 cmdq_append <global>: [bind-key/0x144009330]
1739811899.452628 yylex_token: end at WS
1739811899.452632 yylex_token: bind
1739811899.452636 yylex_token: end at WS
1739811899.452639 yylex_token: -N
1739811899.452644 yylex_token: end at WS
1739811899.452648 yylex_token: Split window vertically
1739811899.452652 yylex_token: end at WS
1739811899.452655 yylex_token: "
1739811899.452659 yylex_token: end at WS
1739811899.452663 yylex_token: split-window
1739811899.452667 cmd_parse_build_commands 0:0: bind
1739811899.452671 cmd_parse_build_commands 0:1: -N
1739811899.452675 cmd_parse_build_commands 0:2: Split window vertically
1739811899.452678 cmd_parse_build_commands 0:3: "
1739811899.452682 cmd_parse_build_commands 0:4 0:0: split-window
1739811899.452688 cmd_parse_build_commands 0:0: split-window
1739811899.452693 args_parse: flags end at 1 of 1
1739811899.452698 cmd_parse_build_commands: split-window
1739811899.452702 args_parse_flags: next -N
1739811899.452706 args_parse_flag_argument: -N = Split window vertically
1739811899.452710 args_parse_flags: next "
1739811899.452713 args_parse: flags end at 3 of 5
1739811899.452717 args_parse: 3 = " (type STRING)
1739811899.452722 args_parse: 4 = split-window (type COMMANDS)
1739811899.452731 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1739811899.452737 cmdq_get_command: [bind-key/0x1440095d0] group 42
1739811899.452741 cmdq_append <global>: [bind-key/0x1440095d0]
1739811899.452745 yylex_token: end at WS
1739811899.452748 yylex_token: bind
1739811899.452752 yylex_token: end at WS
1739811899.452756 yylex_token: -N
1739811899.452760 yylex_token: end at WS
1739811899.452764 yylex_token: List all paste buffers
1739811899.452768 yylex_token: end at WS
1739811899.452781 yylex_token: #
1739811899.452785 yylex_token: end at WS
1739811899.452789 yylex_token: list-buffers
1739811899.452793 cmd_parse_build_commands 0:0: bind
1739811899.452797 cmd_parse_build_commands 0:1: -N
1739811899.452801 cmd_parse_build_commands 0:2: List all paste buffers
1739811899.452804 cmd_parse_build_commands 0:3: #
1739811899.452809 cmd_parse_build_commands 0:4 0:0: list-buffers
1739811899.452814 cmd_parse_build_commands 0:0: list-buffers
1739811899.452819 args_parse: flags end at 1 of 1
1739811899.452823 cmd_parse_build_commands: list-buffers
1739811899.452827 args_parse_flags: next -N
1739811899.452831 args_parse_flag_argument: -N = List all paste buffers
1739811899.452835 args_parse_flags: next #
1739811899.452838 args_parse: flags end at 3 of 5
1739811899.452842 args_parse: 3 = # (type STRING)
1739811899.452847 args_parse: 4 = list-buffers (type COMMANDS)
1739811899.452856 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1739811899.452861 cmdq_get_command: [bind-key/0x144009a10] group 50
1739811899.452865 cmdq_append <global>: [bind-key/0x144009a10]
1739811899.452942 yylex_token: end at WS
1739811899.452947 yylex_token: bind
1739811899.452951 yylex_token: end at WS
1739811899.452955 yylex_token: -N
1739811899.452959 yylex_token: end at WS
1739811899.452963 yylex_token: Rename current session
1739811899.452967 yylex_token: end at WS
1739811899.452970 yylex_token: $
1739811899.452974 yylex_token: end at WS
1739811899.452978 yylex_token: command-prompt
1739811899.452982 yylex_token: end at WS
1739811899.452986 yylex_token: -I#S
1739811899.452990 yylex_token: end at WS
1739811899.452994 yylex_token: rename-session
1739811899.452997 yylex_token: end at WS
